patientSurname,patientName,patientSecondSurname,patientDateOfBirthday,patientAddress,patientProfession,patientSex
31,Кириллова,Ия,Гавриилович,1930-10-02,"п. Казань, алл. Омская, д. 640 стр. 4/1, 806555",Военный полицейский,Ж
32,Ефремов,Сергей,Александрович,1986-05-11,"к. Зеленоград, ул. Краснодарская, д. 4, 646986",Каменотёс,М
33,Родионов,Фортунат,Гаврилович,1932-11-08,"п. Истра, пр. Заречный, д. 2 к. 472, 433132",Веб-мастер,Ж
34,Федорова,Герман,Архиповна,1949-10-17,"г. Лагань, наб. Кленовая, д. 2 стр. 956, 630288",Скотник,М
35,Артемьева,Емельян,Яковлевна,1952-04-25,"д. Буденновск, бул. Славянский, д. 6 стр. 6/4, 378",Татуировщик,М
36,Медведева,Прохор,Григорьевна,2017-03-30,"г. Невьянск, пер. Краснодарский, д. 4 стр. 7, 1611",Терапевт,М
37,Моисеев,Гремислав,Абрамович,1986-02-14,"д. Ямбург, ш. Светлое, д. 6 к. 834, 823197",Монтажник радиоэлектронной апп,М
38,Семенов,Фортунат,Леоновна,1973-08-31,"п. Ирбит, ул. Трактовая, д. 9 стр. 3, 369590",Штукатур,М
39,Кудрявцева,Мирослав,Герасимович,1995-02-22,"клх Смирных, пр. Тургенева, д. 44 стр. 699, 176761",Пастух,М
40,Фомин,Дмитрий,Рубеновна,2023-09-26,"к. Яхрома, наб. Гвардейская, д. 251, 716738",Сталевар,М
41,Антонов,Варфоломей,Мироновна,2008-12-12,"к. Новочеркасск, ул. Больничная, д. 2, 147248",Начальник военного оркестра,М
42,Дмитриев,Афанасий,Макаровна,1978-02-03,"ст. Кудымкар, ул. Заозерная, д. 113, 337144",Коммерческий директор,Ж
43,Назарова,Наум,Алексеевич,1992-02-12,"клх Новый Оскол, пр. Нефтяников, д. 354, 894340",Оператор коллцентра,Ж
44,Якушев,Нифонт,Тимурович,1969-10-19,"п. Ржев, пр. Черемушки, д. 370, 694042",Инженер-химик,М
45,Кондратьев,Галина,Аркадьевна,2005-06-23,"с. Ростов, наб. Кошевого, д. 26 стр. 512, 158007",Таксист,М
46,Бирюкова,Зинаида,Дмитриевич,1993-12-03,"ст. Шахты, бул. Пожарского, д. 5/4 стр. 948, 37995",Моторист,Ж
47,Белова,Виссарион,Демидович,1975-11-18,"д. Ирбит, ш. Правды, д. 3, 915109",Энтомолог,М
48,Сафонова,Тимур,Николаевна,2004-12-01,"г. Ставрополь, пр. Гагарина, д. 1 стр. 7, 584975",Плотник,М
49,Дроздов,Ипполит,Трифонович,2013-06-04,"п. Миасс, ул. Больничная, д. 19 стр. 7/1, 646687",Инженер-электрик,Ж
50,Николаев,Мефодий,Устинович,1924-03-13,"к. Плесецк, бул. Пожарского, д. 7 стр. 7/5, 921360",Юрисконсульт,М
51,Молчанов,Севастьян,Владленович,1970-09-09,"г. Северодвинск, бул. Севастопольский, д. 9/8, 005",Булочник,М
52,Воронов,Юлий,Львовна,2012-12-23,"г. Буйнакск, ш. Мая 1, д. 10 стр. 61, 643750",Режиссёр,Ж
53,Пономарева,Тимур,Фокич,1930-10-03,"с. Ардон, ш. Космодемьянской, д. 72 стр. 5, 717555",Строитель,Ж
54,Веселова,Дарья,Вениаминовна,1966-04-19,"г. Лысьва, наб. Московская, д. 346 к. 656, 897306",Горнострелок,Ж
55,Тарасов,Андрон,Августович,1994-02-05,"п. Кежма, пер. Тенистый, д. 4/4, 020458",Ихтиолог,М
56,Абрамов,Иосиф,Леонидовна,1929-06-27,"д. Саранск, ш. Курганное, д. 72 к. 85, 497098",Кинолог,Ж
57,Дмитриев,Аркадий,Семеновна,1953-02-07,"п. Выборг, пр. Курчатова, д. 300 стр. 8/8, 431644",Дизайнер рекламы,М
58,Семенов,Спиридон,Богдановна,1971-07-20,"с. Салехард, алл. Просвещения, д. 7, 247080",Таможенник,М
59,Кириллов,Любосмысл,Артёмович,2002-10-27,"г. Невинномысск, ш. 30 лет Победы, д. 823 стр. 2/9",Переводчик,Ж
60,Моисеев,Константин,Валерьянович,1952-02-01,"г. Нефтеюганск, бул. Грибоедова, д. 44 к. 79, 3604",Хлопокороб,М
61,Самойлов,Чеслав,Борисович,1981-10-23,"клх Междуреченский, ул. Димитрова, д. 45 стр. 51, ",Моторист,Ж
62,Давыдова,Ипатий,Руслановна,1993-06-21,"к. Дмитров, бул. Вахитова, д. 5, 631031",Токсиколог,Ж
63,Мартынов,Эрнест,Харитоновна,1991-06-20,"к. Быково (метеост.), бул. Ленина, д. 7, 230330",Эколог,Ж
64,Григорьев,Аполлон,Терентьевич,1951-04-07,"ст. Томари, ш. Главное, д. 9 стр. 414, 909674",Гинеколог,М
65,Герасимова,Авдей,Александрович,1974-08-09,"п. Дзержинск, ул. Тамбовская, д. 2, 906827",Корректор,М
66,Третьяков,Эдуард,Адрианович,1990-12-11,"ст. Макаров, ш. Коммунаров, д. 91 к. 2, 398174",Сметчик,М
67,Федоров,Вячеслав,Артёмович,1997-05-19,"с. Горно-Алтайск, пр. Клубный, д. 6 к. 852, 455828",Редактор,М
68,Ларионов,Лаврентий,Ефимьевич,2010-02-02,"с. Горячинск, пр. Рылеева, д. 1 стр. 2/3, 457485",Фельдшер,М
69,Андреев,Всеслав,Леонидовна,1949-05-07,"с. Бронницы, алл. Одесская, д. 69, 055372",Начальник склада,М
70,Журавлев,Варвара,Борисович,1924-06-15,"д. Ноябрьск, ш. Троицкое, д. 44 стр. 1, 870377",Переводчик,М
71,Аксенова,Регина,Демьянович,1942-06-28,"с. Таштагол, пер. Тихий, д. 3/5 к. 2, 131658",Мельник,Ж
72,Симонова,Анжела,Юльевич,1981-06-11,"п. Уэлен, ул. Школьная, д. 6 стр. 925, 133352",Физиотерапевт,М
73,Смирнова,Фирс,Владиленович,2021-11-15,"с. Архыз, пер. Чапаева, д. 4 к. 9/8, 992165",Растениевод,М
74,Прохоров,Евлампий,Теймуразович,1972-02-17,"г. Данков, наб. Ушакова, д. 28 стр. 354, 677970",Композитор,Ж
75,Волков,Нонна,Яковлевич,1982-05-31,"г. Туруханск, бул. Социалистический, д. 1 стр. 40,",Массажист,М
76,Комиссарова,Андрей,Глебович,1955-02-16,"ст. Боровск, алл. Рыбацкая, д. 5, 942450",Кавалерист,М
77,Коновалов,Антонин,Тарасович,2010-11-18,"г. Ижевск, ул. Ярославская, д. 2/8 стр. 64, 030035",Предприниматель,М
78,Матвеева,Мина,Геннадьевна,2013-03-23,"к. Добрянка, пер. Южный, д. 796 стр. 43, 851258",Гример,Ж
79,Антонов,Кир,Вадимовна,1962-10-31,"с. Ставрополь, бул. Тельмана, д. 5 стр. 8, 407158",Татуировщик,Ж
80,Котов,Мефодий,Антипович,1976-05-27,"г. Тобольск, бул. 70 лет Октября, д. 5 к. 8, 70255",Актуарий,Ж
81,Муравьева,Зоя,Абрамович,1981-02-11,"к. Куртамыш, пр. Индустриальный, д. 5/5 к. 3/3, 64",Инкассатор,М
82,Симонов,Аверьян,Феоктистович,2005-11-05,"п. Поярково, наб. Энергетическая, д. 7 к. 4, 95467",Эфферентолог,М
83,Фадеев,Зоя,Власович,1962-08-12,"п. Яхрома, бул. К.Маркса, д. 15 к. 77, 816954",Швейцар,Ж
84,Сидорова,Филарет,Николаевна,1993-12-14,"д. Батайск, пер. Комсомольский, д. 52 стр. 1/1, 74",Блоггер,М
85,Семенов,Эраст,Егоровна,1943-09-25,"п. Ведено, пр. Луначарского, д. 592 к. 54, 593839",Маммолог,Ж
86,Анисимова,Егор,Ефстафьевич,1972-05-10,"д. Уварово, бул. Запрудный, д. 292 к. 760, 308532",Тыловик,М
87,Рогов,Мечислав,Захаровна,2015-12-16,"п. Горячий Ключ, бул. Проезжий, д. 1 стр. 985, 033",Лекальщик,М
88,Соколова,Валерьян,Измаилович,1929-01-19,"клх Избербаш, ул. Троицкая, д. 305 к. 95, 212029",Автогонщик,М
89,Архипова,Станимир,Эдуардовна,1974-01-14,"с. Наро-Фоминск, пр. Южный, д. 88 к. 371, 418983",Кинолог,Ж
90,Лазарева,Август,Иосипович,1940-10-08,"к. Ейск, ш. Поперечное, д. 6 к. 391, 597178",Инженер по механизации,М
91,Степанов,Гедеон,Артурович,1996-09-10,"к. Тикси, алл. Виноградная, д. 689 стр. 4/6, 50035",Месильщик,М
92,Соколов,Фадей,Адамович,2009-01-12,"к. Дно, алл. Коммунальная, д. 540 стр. 207, 363320",Робототехник,М
93,Зимин,Лукия,Артемьевич,1931-02-11,"д. Ясный (Оренб.), наб. Макарова, д. 9, 569425",Наводчик орудия,Ж
94,Фадеева,Бронислав,Геннадьевна,2000-03-01,"к. Токма, пер. Флотский, д. 1 стр. 8, 282659",Медник,Ж
95,Пономарев,Мефодий,Евгеньевна,1943-11-09,"с. Кандалакша, ш. Подстанция, д. 6/4 к. 937, 12460",Вирусолог,Ж
96,Петухова,Мариан,Николаевна,1998-01-28,"к. Обоянь, ул. Фрунзе, д. 3/3, 996487",Манекенщица,Ж
97,Цветкова,Любим,Аркадьевна,1993-11-11,"п. Вязьма, ш. Высоковольтное, д. 84, 343622",Печатник,Ж
98,Евдокимова,Остромир,Августович,1979-04-30,"с. Пермь, ул. Стахановская, д. 321, 986808",Брейдер,М
99,Мясников,Радован,Арсенович,2008-04-13,"клх Сорочинск, ш. Николаева, д. 9, 254134",Коневод,Ж
100,Селиверстов,Светозар,Вячеславовна,1945-07-01,"д. Аршан (Бурят.), ул. Ульянова, д. 40 к. 66, 7772",Дилер,Ж
101,Кононов,Аникей,Тихонович,1952-06-01,"ст. Сосьва (Хант.), пер. Ягодный, д. 40 стр. 3/9, ",Искусствовед,М
102,Селиверстова,Ладислав,Васильевич,1924-11-02,"клх Смоленск, алл. Кольцова, д. 943 стр. 84, 62858",Медник,Ж
103,Галкина,Алевтина,Брониславович,1973-11-12,"с. Луховицы, ш. Железнодорожное, д. 11 стр. 859, 1",Модель,М
104,Кудрявцева,Милан,Матвеевич,1985-11-21,"с. Бугуруслан, алл. Советов, д. 894 стр. 3, 506241",Египтолог,М
105,Савина,Герасим,Глебович,1988-12-07,"ст. Нурлат, пр. Привокзальный, д. 9, 266639",Заряжающий,М
106,Фокина,Екатерина,Арсеньевич,1952-02-08,"д. Усолье Сибирское, алл. 30 лет Победы, д. 55, 13",Фтизиатр,М
107,Матвеева,Елизавета,Александровна,1982-12-27,"клх Верхний Уфалей, пер. Народный, д. 35 к. 7, 181",Бортпроводник/стюард,Ж
108,Федорова,Елизавета,Станиславовна,1967-01-16,"с. Сыктывкар, наб. Шахтерская, д. 3 к. 3/8, 446813",Программист,М
109,Богданов,Михаил,Алексеевич,1984-10-14,"с. Борзя, пр. Ореховый, д. 57 к. 3/5, 550551",Кузнец,Ж
110,Яковлев,Изот,Антипович,1965-01-25,"к. Усть-Илимск, бул. Беляева, д. 9 стр. 2, 219707",Антрополог,Ж
111,Ермаков,Полина,Афанасьевна,1986-11-20,"п. Саратов, наб. Сплавная, д. 320 к. 30, 525557",Монтажник радиоэлектронной апп,Ж
112,Алексеева,Наина,Афанасьевна,1963-11-29,"к. Анадырь, наб. Енисейская, д. 309 стр. 36, 30489",Сантехник,Ж
113,Жданова,Изяслав,Федосеевич,1931-07-13,"ст. Кирово-Чепецк, ул. Окружная, д. 13 стр. 6/7, 9",Стрелочник,Ж
114,Щукина,Ирина,Иларионович,2014-11-15,"п. Мостовской, пер. Николаева, д. 5/2 стр. 7, 0184",Старшина,Ж
115,Журавлева,Исидор,Артемовна,1929-10-31,"к. Кисловодск, пер. Деповский, д. 5 стр. 6, 244109",Кондуктор,Ж
116,Галкин,Савва,Трофимович,2021-02-03,"д. Моздок, алл. Монтажников, д. 1 стр. 33, 347338",Мануалист,М
117,Лобанова,Панкрат,Вадимовна,1944-12-09,"к. Клин, ул. Краснознаменная, д. 1/4 стр. 62, 0649",Сборщик,М
118,Соколов,Раиса,Феоктистович,1927-07-30,"с. Иваново, бул. Таежный, д. 4/2 стр. 2/7, 427816",Метранпаж,Ж
119,Попова,Савватий,Еремеевич,1963-06-04,"д. Нягань, бул. Волгоградский, д. 4 к. 3, 489342",Квасник,Ж
120,Кузнецов,Авдей,Виленович,2015-04-20,"с. Волхов, ш. Рылеева, д. 5/4 к. 7, 786295",Уролог,Ж
121,Быкова,Евдоким,Дмитриевич,1955-04-08,"д. Цимлянск, пр. Вахитова, д. 4/9 к. 630, 202955",Радист,Ж
122,Большаков,Ананий,Вилорович,1971-07-08,"г. Слюдянка, пр. 9 мая, д. 67, 576308",Звукорежиссёр,Ж
123,Колесников,Зинаида,Евстигнеевич,1943-07-03,"к. Сергиев Посад, пер. Ручейный, д. 94 к. 9/5, 886",Стрелочник,М
124,Гурьева,Афанасий,Ануфриевич,1974-06-04,"к. Тымовское, пер. Мирный, д. 3, 713178",Баталер,М
125,Анисимова,Остап,Даниилович,1984-08-29,"с. Раменское, пер. Металлургов, д. 809, 197674",Пограничник,М
126,Хохлов,Ольга,Елизарович,1939-06-06,"клх Лянтор, ул. Громова, д. 599, 289806",Моторист,Ж
127,Родионова,Моисей,Августович,1989-02-23,"к. Минусинск, бул. Интернациональный, д. 1, 696845",Дирижёр,М
128,Большакова,Константин,Афанасьевна,1969-06-06,"п. Шахты, пр. Пролетарский, д. 37 стр. 561, 876547",Блоггер,М
129,Бурова,Милица,Трофимович,2015-02-12,"г. Энгельс, бул. Загородный, д. 660, 757039",Каптенармус,Ж
130,Лебедев,Варвара,Игоревна,1958-07-03,"д. Шамары, пр. Кузнечный, д. 24 к. 4/4, 580372",Тракторист,М
131,Нестеров,Александра,Архиповна,2013-05-15,"с. Усть-Камчатск, пр. Станционный, д. 36, 467682",Флорист,Ж
132,Титова,Анжела,Константиновна,2001-03-07,"ст. Сорочинск, ш. Коммунальное, д. 13, 071983",Иконописец,М
133,Панов,Светозар,Яковлевна,2003-03-23,"с. Кемерово, пр. Сплавный, д. 43, 817224",Юрист,М
134,Мамонтов,Роман,Егоровна,1966-11-03,"г. Дербент, пр. Народный, д. 43 стр. 170, 815790",Географ,М
135,Анисимова,Спартак,Антонович,2012-11-17,"с. Саратов, алл. Никитина, д. 9/3, 222213",Программист,Ж
136,Евдокимов,Азарий,Измаилович,1964-04-01,"п. Усть-Калманка, алл. Краснознаменная, д. 1/5, 28",Коневод,Ж
137,Калашникова,Федор,Трифонович,1960-07-23,"ст. Аша, алл. Рыбацкая, д. 7 стр. 9, 235728",Педагог,М
138,Моисеев,Владлен,Гавриилович,1973-11-01,"п. Братск, ш. Олимпийское, д. 6 к. 4, 028944",Дирижёр,Ж
139,Герасимов,Вероника,Евстигнеевич,2018-12-21,"д. Челюскин, пер. Путейский, д. 9, 588091",Начальник гаупвахты,Ж
140,Морозова,Евфросиния,Феоктистович,1962-07-06,"ст. Добрянка, наб. Целинная, д. 4/6, 399102",Лётчик,Ж
141,Константинов,Елисей,Бенедиктович,1924-06-02,"п. Наро-Фоминск, ул. Ворошилова, д. 5 стр. 1, 2934",Инфекционист,Ж
142,Новикова,Полина,Аверьянович,1928-01-05,"д. Усмань, наб. Крупской, д. 336 к. 8/9, 915991",Литейщик,Ж
143,Ермаков,Пахом,Абрамович,1972-06-02,"клх Истра, ш. Коминтерна, д. 8, 395452",Борт-инженер,Ж
144,Воронцов,Марфа,Тимофеевна,2006-02-06,"п. Адыгейск, ш. Энергетиков, д. 1/9, 028904",Лётчик,Ж
145,Константинова,Юлия,Валерианович,1952-02-08,"д. Сузун, ш. Путевое, д. 49 стр. 961, 281364",Фальцовщик,М
146,Белов,Тарас,Ерофеевич,1966-05-16,"с. Новороссийск, наб. Никитина, д. 298 стр. 61, 06",Библиотековед,М
147,Журавлев,Олег,Григорьевич,1935-11-13,"г. Ирбит, ш. Ореховое, д. 493, 575898",Кабельщик,Ж
148,Антонов,Елизавета,Анатольевич,1945-01-22,"с. Соболево, ш. Приозерное, д. 186 к. 426, 644128",Машинистка,Ж
149,Ковалева,Ферапонт,Эльдаровна,1965-08-15,"к. Североморск, пер. Лунный, д. 2/6, 856396",Инженер-лесотехник,Ж
150,Колесников,Евфросиния,Оскаровна,1927-02-14,"к. Находка, ул. Щербакова, д. 2 к. 56, 665084",Конвоир,Ж
151,Ширяев,Остромир,Артемовна,1963-04-10,"г. Камышин, пр. Кленовый, д. 2 к. 7, 900782",Горнострелок,Ж
152,Архипова,Василий,Августович,2015-08-20,"с. Нязепетровск, наб. Нижняя, д. 19, 143403",Врач функциональной диагностик,М
153,Орлов,Игорь,Руслановна,1936-07-18,"клх Губаха, ул. Транспортная, д. 27 стр. 7/5, 9467",Выпускающий редактор,Ж
154,Калашников,Никанор,Федосеевич,1989-07-18,"п. Тамбов, ш. Сплавное, д. 86 к. 295, 637073",Кондуктор,Ж
155,Анисимова,Фирс,Анисимович,1949-10-13,"с. Жигулевск, бул. 50 лет ВЛКСМ, д. 9 к. 1/6, 7114",Химик-аналитик,Ж
156,Михайлова,Касьян,Александрович,1978-11-19,"к. Борзя, алл. Ульянова, д. 525 стр. 8/1, 597561",Начальник военного оркестра,Ж
157,Тарасов,Аскольд,Ярославович,1940-01-23,"п. Слюдянка, ш. 40 лет Победы, д. 1 к. 8, 765865",Татуировщик,Ж
158,Пестов,Милий,Рубеновна,2009-11-05,"п. Сургут (Хант.), алл. Монтажников, д. 39, 264549",Правовед,Ж
159,Григорьева,Афиноген,Сергеевна,2009-12-13,"г. Нальчик, бул. Подстанция, д. 94, 960604",Диджей,М
160,Герасимов,Савелий,Исидорович,1932-11-02,"д. Алагир, пр. Восьмого Марта, д. 653 к. 7/5, 2867",Сталевар,Ж
161,Громов,Андроник,Харлампьевич,1948-05-20,"г. Холмогоры, пер. Толбухина, д. 3/3 стр. 27, 7172",Сомелье,М
162,Семенова,Евгения,Елизарович,1977-11-01,"клх Нарым, наб. Средняя, д. 7 к. 3/7, 762328",Композитор,М
163,Архипова,Твердислав,Харлампович,1973-07-11,"п. Ханты-Мансийск, бул. Аэродромный, д. 8 к. 884, ",Штурман,М
164,Емельянова,Маргарита,Юлианович,2016-04-07,"клх Томск, алл. Севастопольская, д. 8 к. 67, 01296",Сапожник,Ж
165,Горбачева,Митофан,Николаевна,1942-10-28,"с. Норильск, ш. Рыбацкое, д. 1/3 к. 642, 059043",Сексопатолог,Ж
166,Зуева,Кира,Натановна,1935-10-29,"д. Калевала, пр. Дзержинского, д. 81 стр. 9, 91334",Шифровальщик,М
167,Уваров,Серафим,Федосеевич,1941-01-27,"с. Слюдянка, бул. Новый, д. 3, 126486",Социолог,Ж
168,Воронова,Капитон,Харлампович,1942-12-18,"с. Североуральск, бул. Ульяновский, д. 7/5 стр. 8/",Инженер-лаборант,М
169,Русакова,Аверкий,Ааронович,1962-09-26,"к. Ряжск, алл. Советская, д. 9/5 к. 5, 974613",Адвокат,Ж
170,Князев,Антонин,Ефимьевич,1959-06-03,"с. Назрань, ул. Кооперативная, д. 215 к. 12, 77984",Животновод,Ж
171,Бобылева,Евстафий,Аркадьевна,1976-01-16,"п. Ачхой Мартан, пр. Горный, д. 927, 035697",Сметчик,М
172,Буров,Януарий,Вадимовна,2009-10-13,"п. Ульяновск, ул. Гагарина, д. 4/7, 413876",Косметолог,М
173,Беляев,Борис,Марсович,1935-08-21,"с. Уфа, наб. 9 Января, д. 1/3 стр. 8/3, 621932",Табунщик,М
174,Крылова,Савелий,Харлампьевич,1994-03-20,"к. Завьялиха, алл. Станиславского, д. 1, 113849",Проходчик,М
175,Ширяева,Маргарита,Аксёнович,2005-04-01,"д. Джубга, алл. Ленинская, д. 3/3 к. 47, 324798",Оториноларинголог,М
176,Блохина,Фирс,Еремеевич,1985-01-25,"к. Долинск, пр. Победы, д. 2/2 стр. 66, 307353",Массажист,М
177,Ситникова,Антонин,Владиславовна,1933-06-30,"с. Азов (Рост.), пер. Снежный, д. 710, 990089",Териолог,М
178,Пономарева,Селиван,Николаевна,2019-03-21,"п. Оха, бул. Новосельский, д. 1/5 к. 3/1, 021424",Предприниматель,Ж
179,Носов,Адриан,Захаровна,1955-04-28,"к. Карабудахкент, ш. Привольное, д. 64 стр. 6, 205",Андролог,Ж
180,Власов,Епифан,Павловна,1975-03-15,"ст. Шелехов, бул. Промышленный, д. 823, 127690",Сметчик,Ж
181,Субботин,Никанор,Ярославович,1978-12-10,"ст. Орехово-Зуево, пер. Торговый, д. 2, 679896",Тракторист,М
182,Голубева,Филимон,Вениаминовна,1971-04-12,"д. Томари, пер. Краснодарский, д. 916 стр. 8/1, 79",Заточник,Ж
183,Павлова,Иларион,Михайловна,1930-12-12,"клх Курск, пер. 9 мая, д. 821 стр. 475, 427665",Воспитатель,М
184,Елисеев,Лазарь,Михайловна,2014-01-16,"к. Магнитогорск, бул. Полтавский, д. 4 к. 9/2, 006",Стрелок,Ж
185,Котова,Аполлон,Харитоновна,1980-05-17,"д. Чехов, алл. Харьковская, д. 759, 872964",Воспитатель,Ж
186,Щукина,Януарий,Феофанович,1982-10-08,"клх Рыльск, бул. Нахимова, д. 8 стр. 470, 828877",Иконописец,Ж
187,Филиппова,Остап,Демидович,2011-11-08,"г. Казань, пр. Поперечный, д. 9 к. 765, 187473",Медицинская сестра,Ж
188,Стрелков,Екатерина,Матвеевич,1997-07-10,"клх Териберка, пр. Чернышевского, д. 68, 543951",Тележурналист,М
189,Наумов,Вера,Юльевна,1993-07-05,"ст. Учалы, пр. Сиреневый, д. 9, 488631",Инженер по Технике Безопасност,М
190,Макаров,Амвросий,Николаевна,2011-01-09,"г. Старый Оскол, бул. Тракторный, д. 8 стр. 3, 271",Горнострелок,М
191,Беляков,Виталий,Тарасовна,2005-11-03,"г. Чегем, ул. Тенистая, д. 5, 124259",Механик-Водитель,М
192,Морозова,Викторин,Юльевна,2004-12-25,"г. Можайск, пер. Гоголя, д. 9/8 стр. 4, 493617",Дирижёр,М
193,Прохоров,Герасим,Аскольдовна,1950-10-10,"к. Муром, пер. Олега Кошевого, д. 6/9 стр. 685, 32",Инженер-строитель,Ж
194,Гущина,Автоном,Борисович,1970-03-21,"д. Ноябрьск, бул. Геологов, д. 8 к. 239, 925095",Брейдер,М
195,Зайцева,Аникита,Мироновна,2003-12-22,"клх Агинское (Забайк.), ш. Угловое, д. 990, 594684",Фортификатор,Ж
196,Якушев,Родион,Глебович,2022-03-28,"д. Тура, пер. Курский, д. 91 стр. 4, 211818",Кок,М
197,Абрамов,Филипп,Дорофеевич,1980-03-11,"ст. Рязань, пр. Нижний, д. 8 стр. 370, 235804",Лоцман,М
198,Дмитриева,Рубен,Наумовна,1935-05-23,"ст. Калачинск, наб. Авиационная, д. 779, 723580",Златокузнец,М
199,Тихонова,Болеслав,Августович,1984-08-22,"д. Северобайкальск, ул. Гаражная, д. 48 к. 143, 82",Лифтёр,М
200,Тарасов,Евсей,Денисович,1928-12-03,"г. Курск, ш. Металлистов, д. 900, 200159",Офтальмолог,М
201,Лыткин,Прохор,Ермилович,1929-01-04,"клх Курчатов, ш. Пролетарское, д. 6, 821337",Ортопед,М
202,Горбачев,Наина,Аркадьевна,1995-04-17,"п. Асбест, алл. Республиканская, д. 709 стр. 321, ",Табунщик,Ж
203,Устинова,Эдуард,Валерианович,1971-10-16,"клх Ачхой Мартан, ул. Механизаторов, д. 5/1 к. 7/3",Ювелир,М
204,Власова,Тамара,Григорьевич,2014-05-28,"д. Красновишерск, ул. Урицкого, д. 282 к. 568, 359",Адвокат,М
205,Анисимов,Владимир,Ааронович,1970-04-27,"к. Таштагол, ул. Ленинградская, д. 48 к. 60, 50481",Иллюстратор,Ж
206,Хохлова,Зосима,Иосипович,1965-07-03,"п. Лотошино, пер. Марта 8, д. 8/3 стр. 8, 400531",Командир,М
